,Level of study?,Age?,Used smartphone/computer/laptop previously before online class?,Result increased after online education  (comparatively)?,Knowledge increased after online education (comparatively)?,Happy with online education?,Education Institute Area?,Have Internet availability?,Broadband / Mobile Internet?,Total hours of study before online education?,Total hours of study after online education?,Class performance increased in online education?,Institute Type,Current location (During Study) ?,Gender,Faced any issue with online class?,Preferred device for an online course
2056,Upto HSC,21.0,Yes,No,No,Yes,Rural,No,Broadband,4,3,Yes,Private,Rural,Female,Yes,Computer
2060,Hons or Grater,24.0,Yes,No,No,No,Urban,No,Mobile Internet,5,3,Yes,Public,Urban,Male,No,Computer
2061,Hons or Grater,25.0,Yes,No,Yes,No,Urban,No,Broadband,5,2,Yes,Public,Urban,Female,Yes,Mobile
2064,Hons or Grater,26.0,No,No,No,No,Urban,No,Mobile Internet,5,3,No,Private,Rural,Male,Yes,Computer
2065,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,No,Public,Rural,Male,No,Computer
2067,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,3,Yes,Public,Rural,Male,No,Computer
2070,Hons or Grater,21.0,No,No,No,No,Rural,No,Mobile Internet,6,3,Yes,Private,Urban,Male,Yes,Mobile
2072,Hons or Grater,22.0,Yes,No,No,Yes,Rural,No,Mobile Internet,4,4,No,Private,Urban,Male,Yes,Mobile
2073,Hons or Grater,22.0,No,Yes,No,Yes,Urban,Yes,Mobile Internet,4,3,No,Private,Rural,Male,Yes,Mobile
2074,Upto HSC,22.0,Yes,No,Yes,No,Urban,No,Broadband,3,2,No,Public,Rural,Female,No,Computer
2075,Hons or Grater,23.0,Yes,No,Yes,Yes,Urban,No,Broadband,5,3,Yes,Private,Urban,Male,Yes,Computer
2076,Upto HSC,23.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,3,No,Private,Urban,Male,Yes,Computer
2077,Upto HSC,22.0,Yes,No,No,No,Urban,No,Broadband,4,3,No,Private,Rural,Male,Yes,Mobile
2078,Upto HSC,23.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,3,4,Yes,Private,Urban,Male,Yes,Computer
2079,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,3,No,Private,Rural,Male,Yes,Computer
2081,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,Yes,Private,Rural,Female,Yes,Computer
2082,Upto HSC,25.0,No,Yes,No,Yes,Rural,Yes,Broadband,3,4,No,Private,Urban,Female,Yes,Mobile
2083,Upto HSC,18.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,3,No,Private,Rural,Male,No,Mobile
2084,Upto HSC,20.0,Yes,Yes,No,No,Rural,No,Broadband,4,2,Yes,Private,Rural,Female,No,Computer
2086,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,3,2,No,Public,Urban,Male,Yes,Computer
2088,Hons or Grater,22.0,No,No,Yes,Yes,Urban,No,Broadband,6,4,Yes,Public,Urban,Female,No,Computer
2089,Hons or Grater,26.0,Yes,No,Yes,No,Urban,No,Mobile Internet,6,4,Yes,Public,Rural,Female,No,Computer
2090,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,No,Private,Urban,Male,No,Mobile
2091,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,Yes,Private,Urban,Male,No,Computer
2092,Hons or Grater,24.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,3,4,No,Private,Rural,Male,Yes,Computer
2093,Hons or Grater,21.0,Yes,No,No,Yes,Urban,No,Mobile Internet,4,4,Yes,Public,Urban,Female,No,Computer
2094,Hons or Grater,24.0,Yes,No,Yes,Yes,Urban,No,Broadband,4,3,No,Public,Urban,Male,Yes,Computer
2095,Hons or Grater,25.0,Yes,Yes,No,No,Rural,Yes,Broadband,5,4,Yes,Private,Rural,Male,Yes,Computer
2096,Upto HSC,21.0,Yes,Yes,No,Yes,Rural,Yes,Mobile Internet,4,3,No,Public,Urban,Female,No,Computer
2099,Hons or Grater,24.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,4,3,Yes,Private,Rural,Female,No,Computer
2101,Hons or Grater,23.0,No,No,No,Yes,Urban,No,Broadband,5,2,No,Private,Urban,Female,Yes,Mobile
2102,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,2,Yes,Private,Rural,Male,Yes,Computer
2103,Hons or Grater,21.0,Yes,No,No,No,Urban,No,Mobile Internet,3,3,No,Private,Urban,Male,No,Computer
2104,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,4,No,Public,Rural,Male,Yes,Mobile
2105,Hons or Grater,24.0,Yes,No,No,No,Rural,No,Broadband,5,4,No,Private,Urban,Male,Yes,Mobile
2107,Upto HSC,26.0,Yes,No,Yes,No,Urban,No,Broadband,5,2,Yes,Public,Urban,Female,Yes,Mobile
2109,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,3,Yes,Private,Rural,Male,Yes,Mobile
2112,Upto HSC,18.0,Yes,No,Yes,No,Urban,No,Mobile Internet,3,4,No,Public,Urban,Female,Yes,Computer
2113,Upto HSC,18.0,No,Yes,No,No,Urban,Yes,Mobile Internet,3,4,No,Public,Rural,Female,Yes,Computer
2114,Upto HSC,18.0,Yes,No,No,Yes,Rural,No,Broadband,6,3,No,Private,Rural,Female,Yes,Mobile
2115,Upto HSC,25.0,Yes,No,No,No,Rural,No,Broadband,4,3,No,Private,Urban,Female,No,Computer
2116,Hons or Grater,26.0,Yes,No,No,No,Urban,No,Broadband,4,2,Yes,Private,Urban,Male,Yes,Computer
2118,Upto HSC,24.0,Yes,No,Yes,No,Urban,No,Mobile Internet,6,4,No,Private,Rural,Female,Yes,Computer
2119,Hons or Grater,26.0,Yes,No,No,No,Urban,No,Mobile Internet,5,4,No,Private,Urban,Female,Yes,Computer
2120,Upto HSC,26.0,Yes,No,No,Yes,Urban,No,Mobile Internet,3,4,No,Private,Rural,Female,Yes,Computer
2121,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,3,2,No,Private,Rural,Male,No,Computer
2123,Hons or Grater,22.0,Yes,No,No,No,Urban,No,Mobile Internet,5,3,Yes,Private,Urban,Female,Yes,Mobile
2124,Hons or Grater,25.0,Yes,Yes,No,Yes,Rural,No,Mobile Internet,4,3,No,Private,Urban,Male,No,Mobile
2125,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,2,No,Public,Rural,Male,No,Computer
2126,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,3,No,Private,Urban,Female,Yes,Computer
2127,Upto HSC,22.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,6,3,No,Private,Urban,Male,No,Mobile
2131,Hons or Grater,21.0,No,No,Yes,Yes,Urban,No,Broadband,5,3,Yes,Private,Rural,Male,Yes,Computer
2133,Upto HSC,22.0,Yes,No,No,Yes,Urban,No,Broadband,3,3,No,Public,Rural,Male,Yes,Computer
2135,Upto HSC,23.0,Yes,Yes,No,No,Rural,Yes,Broadband,4,3,Yes,Private,Urban,Male,No,Computer
2137,Upto HSC,23.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,2,No,Private,Rural,Male,Yes,Computer
2138,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,2,Yes,Private,Urban,Male,Yes,Mobile
2139,Upto HSC,24.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,3,Yes,Private,Urban,Female,Yes,Mobile
2140,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,2,Yes,Private,Rural,Female,Yes,Computer
2141,Upto HSC,25.0,No,Yes,No,No,Urban,No,Mobile Internet,4,3,No,Private,Urban,Female,Yes,Mobile
2142,Upto HSC,18.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,3,No,Private,Rural,Female,No,Mobile
2144,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,6,2,No,Private,Rural,Male,No,Mobile
2148,Hons or Grater,22.0,Yes,No,Yes,No,Urban,No,Mobile Internet,3,3,Yes,Private,Urban,Male,Yes,Mobile
2149,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,Yes,Public,Urban,Male,Yes,Mobile
2150,Hons or Grater,24.0,Yes,Yes,No,Yes,Rural,Yes,Broadband,4,3,Yes,Private,Rural,Male,Yes,Computer
2151,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,3,Yes,Public,Rural,Male,Yes,Mobile
2153,Hons or Grater,24.0,Yes,No,Yes,No,Rural,No,Mobile Internet,4,2,Yes,Private,Urban,Female,No,Computer
2155,Hons or Grater,23.0,Yes,No,No,Yes,Urban,No,Broadband,5,2,No,Private,Urban,Male,No,Computer
2157,Upto HSC,23.0,Yes,No,No,Yes,Urban,No,Broadband,6,4,No,Private,Rural,Male,Yes,Computer
2158,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,6,3,No,Private,Rural,Male,Yes,Computer
2164,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,4,Yes,Private,Urban,Female,No,Computer
2165,Hons or Grater,25.0,No,No,No,No,Rural,No,Mobile Internet,5,4,No,Public,Rural,Male,Yes,Computer
2168,Hons or Grater,25.0,Yes,Yes,No,Yes,Rural,No,Mobile Internet,6,4,Yes,Private,Urban,Female,Yes,Mobile
2169,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Broadband,5,4,Yes,Private,Urban,Male,Yes,Computer
2170,Hons or Grater,25.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,4,Yes,Private,Urban,Female,Yes,Computer
2172,Hons or Grater,26.0,Yes,No,Yes,Yes,Urban,No,Broadband,5,3,Yes,Private,Urban,Female,No,Computer
2173,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,4,Yes,Public,Urban,Female,No,Computer
2174,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,4,No,Private,Urban,Female,Yes,Mobile
2175,Hons or Grater,26.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,5,3,Yes,Public,Rural,Male,Yes,Computer
2177,Hons or Grater,26.0,Yes,Yes,No,No,Urban,No,Broadband,3,3,No,Private,Urban,Female,Yes,Mobile
2178,Hons or Grater,26.0,Yes,No,Yes,Yes,Urban,No,Broadband,4,3,No,Private,Urban,Female,No,Computer
2179,Hons or Grater,23.0,Yes,Yes,No,Yes,Rural,Yes,Mobile Internet,4,4,No,Private,Rural,Female,No,Computer
2180,Hons or Grater,24.0,Yes,No,No,No,Rural,No,Mobile Internet,3,2,No,Private,Urban,Female,No,Computer
2181,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,No,Public,Urban,Female,No,Computer
2182,Upto HSC,22.0,Yes,Yes,No,No,Rural,Yes,Broadband,5,4,Yes,Public,Urban,Male,Yes,Computer
2183,Hons or Grater,26.0,Yes,Yes,No,No,Urban,No,Broadband,4,4,Yes,Private,Urban,Female,Yes,Computer
2184,Upto HSC,24.0,Yes,No,No,No,Urban,No,Mobile Internet,6,3,Yes,Private,Urban,Male,No,Mobile
2185,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Broadband,4,3,No,Private,Urban,Male,No,Computer
2187,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,4,Yes,Public,Rural,Male,Yes,Computer
2190,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,Yes,Private,Urban,Female,No,Computer
2191,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,3,No,Private,Urban,Male,No,Computer
2192,Upto HSC,21.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,3,Yes,Private,Urban,Male,No,Mobile
2193,Hons or Grater,24.0,Yes,Yes,No,Yes,Rural,Yes,Mobile Internet,3,2,Yes,Public,Urban,Female,No,Mobile
2194,Upto HSC,20.0,No,No,No,No,Rural,No,Mobile Internet,4,3,Yes,Private,Rural,Female,Yes,Mobile
2197,Hons or Grater,22.0,Yes,No,Yes,No,Rural,No,Broadband,5,2,Yes,Public,Urban,Female,No,Computer
2198,Hons or Grater,26.0,Yes,Yes,No,No,Rural,Yes,Broadband,5,3,Yes,Private,Urban,Male,No,Computer
2199,Upto HSC,21.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,5,2,No,Private,Rural,Male,No,Computer
2201,Hons or Grater,25.0,Yes,Yes,No,Yes,Rural,Yes,Broadband,3,3,No,Private,Rural,Female,Yes,Mobile
2203,Hons or Grater,21.0,Yes,No,No,No,Urban,No,Mobile Internet,4,3,Yes,Public,Rural,Male,No,Computer
2208,Upto HSC,21.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,2,No,Private,Rural,Male,Yes,Computer
2209,Upto HSC,20.0,Yes,No,No,Yes,Urban,No,Broadband,3,3,No,Private,Rural,Female,Yes,Computer
2211,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,5,3,Yes,Private,Rural,Male,Yes,Computer
2212,Hons or Grater,24.0,Yes,Yes,No,No,Rural,No,Mobile Internet,3,3,No,Public,Urban,Male,Yes,Computer
2213,Upto HSC,22.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,3,No,Private,Urban,Male,Yes,Mobile
2214,Hons or Grater,21.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,3,2,Yes,Private,Rural,Female,Yes,Mobile
2215,Upto HSC,20.0,Yes,No,No,Yes,Urban,No,Mobile Internet,4,2,Yes,Private,Urban,Male,Yes,Computer
2217,Hons or Grater,21.0,Yes,No,Yes,No,Urban,No,Broadband,3,3,No,Public,Urban,Female,Yes,Computer
2218,Hons or Grater,22.0,No,Yes,No,Yes,Urban,Yes,Mobile Internet,6,2,Yes,Private,Urban,Male,Yes,Computer
2222,Upto HSC,24.0,Yes,No,No,No,Urban,No,Mobile Internet,5,3,No,Public,Rural,Male,Yes,Computer
2223,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,4,Yes,Public,Rural,Male,Yes,Computer
2225,Hons or Grater,23.0,Yes,No,Yes,No,Rural,No,Broadband,5,4,Yes,Public,Urban,Male,No,Mobile
2226,Hons or Grater,24.0,Yes,No,No,No,Urban,No,Broadband,3,4,Yes,Private,Rural,Female,Yes,Computer
2227,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,2,Yes,Private,Urban,Female,Yes,Computer
2228,Upto HSC,21.0,Yes,Yes,No,No,Urban,No,Broadband,5,3,No,Public,Urban,Male,Yes,Mobile
2229,Hons or Grater,22.0,Yes,No,No,Yes,Rural,No,Broadband,6,2,No,Private,Rural,Male,No,Computer
2230,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,Yes,Public,Urban,Male,No,Computer
2231,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,4,No,Public,Urban,Male,Yes,Mobile
2232,Upto HSC,22.0,No,No,Yes,No,Rural,No,Mobile Internet,5,3,No,Private,Urban,Male,No,Computer
2233,Hons or Grater,24.0,Yes,No,No,Yes,Rural,No,Broadband,6,3,Yes,Public,Rural,Male,Yes,Computer
2234,Hons or Grater,25.0,Yes,No,No,No,Urban,No,Broadband,4,3,No,Private,Rural,Female,Yes,Computer
2236,Hons or Grater,25.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,2,Yes,Private,Urban,Female,Yes,Computer
2240,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,2,Yes,Private,Rural,Female,No,Computer
2241,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,No,Public,Urban,Male,Yes,Mobile
2242,Upto HSC,20.0,Yes,No,No,Yes,Urban,No,Mobile Internet,6,2,No,Private,Urban,Female,Yes,Mobile
2244,Hons or Grater,23.0,Yes,No,No,No,Urban,No,Mobile Internet,5,4,No,Public,Urban,Male,Yes,Computer
2246,Hons or Grater,22.0,Yes,No,No,No,Urban,No,Broadband,3,3,Yes,Public,Urban,Female,Yes,Computer
2249,Hons or Grater,21.0,Yes,No,Yes,Yes,Urban,No,Broadband,4,3,Yes,Private,Rural,Male,No,Computer
2250,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,2,Yes,Private,Urban,Female,Yes,Computer
2254,Upto HSC,18.0,No,Yes,No,No,Rural,Yes,Mobile Internet,5,3,Yes,Private,Rural,Male,Yes,Mobile
2256,Hons or Grater,21.0,Yes,No,No,No,Urban,No,Mobile Internet,3,3,Yes,Private,Rural,Female,No,Computer
2259,Upto HSC,21.0,Yes,No,Yes,Yes,Urban,No,Mobile Internet,4,2,No,Private,Urban,Female,Yes,Computer
2260,Upto HSC,21.0,Yes,Yes,No,No,Urban,No,Mobile Internet,6,2,No,Private,Rural,Male,Yes,Mobile
2263,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,3,Yes,Private,Rural,Female,No,Computer
2264,Hons or Grater,21.0,Yes,No,Yes,No,Urban,No,Mobile Internet,5,2,Yes,Private,Urban,Female,No,Computer
2265,Hons or Grater,23.0,Yes,No,No,Yes,Rural,No,Mobile Internet,5,4,Yes,Private,Rural,Male,Yes,Computer
2266,Hons or Grater,26.0,Yes,Yes,No,Yes,Rural,No,Mobile Internet,4,2,No,Private,Urban,Female,Yes,Computer
2267,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,Yes,Public,Urban,Female,No,Computer
2268,Hons or Grater,21.0,Yes,No,No,Yes,Urban,No,Mobile Internet,3,4,No,Private,Urban,Male,Yes,Computer
2270,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,No,Broadband,6,3,No,Private,Urban,Female,Yes,Computer
2271,Upto HSC,24.0,No,No,Yes,No,Urban,No,Broadband,4,3,Yes,Public,Urban,Male,Yes,Computer
2275,Hons or Grater,25.0,Yes,Yes,No,No,Rural,No,Mobile Internet,5,4,No,Public,Rural,Male,Yes,Computer
2277,Upto HSC,24.0,Yes,No,Yes,Yes,Urban,No,Mobile Internet,4,3,Yes,Public,Urban,Male,Yes,Mobile
2279,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,No,Private,Urban,Male,Yes,Computer
2280,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,2,Yes,Private,Urban,Male,No,Computer
2281,Upto HSC,22.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,3,2,No,Public,Urban,Female,No,Computer
2282,Hons or Grater,21.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,3,No,Public,Urban,Male,No,Mobile
2283,Hons or Grater,26.0,Yes,No,No,Yes,Rural,No,Broadband,6,3,Yes,Public,Rural,Female,Yes,Computer
2285,Upto HSC,22.0,Yes,No,Yes,No,Urban,No,Broadband,5,4,No,Public,Rural,Female,No,Computer
2286,Hons or Grater,22.0,No,Yes,No,No,Rural,No,Mobile Internet,4,2,No,Public,Urban,Female,Yes,Mobile
2287,Hons or Grater,24.0,Yes,No,Yes,No,Urban,No,Mobile Internet,4,2,Yes,Private,Rural,Female,Yes,Computer
2289,Hons or Grater,24.0,Yes,No,No,No,Urban,No,Mobile Internet,5,3,No,Private,Urban,Female,Yes,Computer
2290,Hons or Grater,21.0,Yes,No,Yes,Yes,Urban,No,Broadband,5,3,No,Private,Rural,Female,Yes,Computer
2291,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,6,3,Yes,Private,Urban,Female,Yes,Computer
2292,Hons or Grater,22.0,Yes,Yes,No,No,Rural,No,Broadband,4,3,No,Private,Urban,Female,Yes,Computer
2293,Upto HSC,22.0,Yes,No,Yes,No,Urban,No,Broadband,5,3,No,Private,Urban,Female,No,Computer
2294,Hons or Grater,21.0,Yes,No,No,No,Urban,No,Mobile Internet,5,2,No,Private,Urban,Male,Yes,Computer
2295,Hons or Grater,26.0,Yes,Yes,No,Yes,Rural,No,Mobile Internet,6,2,No,Private,Urban,Male,Yes,Computer
2296,Upto HSC,21.0,Yes,Yes,No,No,Urban,No,Broadband,4,2,Yes,Private,Rural,Female,Yes,Computer
2303,Upto HSC,18.0,Yes,No,No,No,Rural,No,Mobile Internet,6,3,No,Public,Urban,Female,Yes,Computer
2304,Hons or Grater,25.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,3,No,Public,Urban,Male,Yes,Mobile
2305,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,4,Yes,Private,Urban,Male,Yes,Computer
2306,Upto HSC,22.0,No,No,Yes,No,Urban,No,Broadband,5,2,No,Private,Urban,Male,Yes,Computer
2307,Hons or Grater,25.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,2,Yes,Private,Urban,Female,No,Computer
2308,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,4,Yes,Public,Urban,Male,Yes,Mobile
2311,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,3,2,Yes,Private,Urban,Male,Yes,Computer
2312,Hons or Grater,23.0,Yes,No,Yes,No,Urban,No,Broadband,6,2,No,Private,Rural,Male,Yes,Computer
2313,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,No,Broadband,3,4,No,Private,Rural,Female,Yes,Mobile
2314,Hons or Grater,22.0,Yes,No,No,No,Urban,No,Broadband,6,3,No,Private,Rural,Male,Yes,Mobile
2315,Hons or Grater,24.0,Yes,Yes,No,No,Rural,Yes,Broadband,5,4,Yes,Private,Rural,Female,No,Computer
2316,Hons or Grater,25.0,Yes,No,Yes,No,Urban,No,Mobile Internet,5,3,Yes,Private,Rural,Male,Yes,Mobile
2318,Hons or Grater,23.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,5,3,Yes,Private,Urban,Female,No,Computer
2319,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,4,No,Private,Rural,Female,No,Computer
2322,Hons or Grater,26.0,Yes,Yes,No,Yes,Rural,Yes,Broadband,4,3,No,Private,Urban,Female,No,Computer
2325,Hons or Grater,23.0,Yes,No,Yes,No,Urban,No,Mobile Internet,4,3,No,Private,Rural,Male,Yes,Mobile
2326,Upto HSC,24.0,Yes,No,Yes,Yes,Urban,No,Mobile Internet,4,3,No,Private,Urban,Male,Yes,Mobile
2327,Hons or Grater,25.0,Yes,No,No,No,Urban,No,Mobile Internet,4,4,No,Private,Rural,Female,Yes,Computer
2329,Hons or Grater,24.0,No,No,No,Yes,Urban,No,Broadband,5,3,No,Private,Urban,Female,No,Mobile
2330,Upto HSC,23.0,Yes,Yes,No,Yes,Urban,No,Broadband,4,3,Yes,Private,Urban,Male,Yes,Mobile
2331,Hons or Grater,23.0,Yes,No,No,No,Rural,No,Broadband,3,4,Yes,Public,Rural,Male,No,Mobile
2332,Upto HSC,23.0,Yes,Yes,No,No,Urban,No,Broadband,4,4,Yes,Public,Urban,Female,No,Mobile
2335,Hons or Grater,23.0,Yes,Yes,No,No,Rural,Yes,Broadband,5,2,No,Private,Urban,Female,Yes,Mobile
2336,Upto HSC,25.0,No,Yes,No,No,Urban,Yes,Mobile Internet,5,3,No,Private,Urban,Male,Yes,Mobile
2337,Upto HSC,18.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,4,No,Private,Urban,Male,No,Computer
2338,Upto HSC,20.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,4,No,Public,Rural,Male,No,Computer
2339,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,2,Yes,Public,Urban,Female,Yes,Computer
2340,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,3,2,Yes,Private,Urban,Female,No,Computer
2341,Upto HSC,19.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,3,No,Private,Rural,Male,No,Computer
2343,Upto HSC,22.0,No,No,No,No,Urban,No,Broadband,4,2,Yes,Private,Urban,Male,Yes,Computer
2345,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,4,No,Public,Urban,Female,Yes,Computer
2347,Hons or Grater,25.0,Yes,No,No,Yes,Urban,No,Mobile Internet,4,3,Yes,Private,Urban,Female,Yes,Computer
2350,Upto HSC,24.0,Yes,No,No,No,Rural,No,Mobile Internet,3,4,No,Private,Rural,Male,Yes,Computer
2352,Hons or Grater,25.0,Yes,No,No,No,Rural,No,Broadband,6,3,No,Public,Rural,Male,Yes,Computer
2358,Upto HSC,18.0,Yes,Yes,No,No,Urban,No,Broadband,4,3,No,Public,Rural,Female,Yes,Mobile
2359,Hons or Grater,24.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,5,4,No,Private,Urban,Male,Yes,Computer
2360,Hons or Grater,24.0,No,No,Yes,Yes,Urban,No,Broadband,3,3,Yes,Public,Urban,Male,No,Mobile
2363,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,4,No,Private,Urban,Male,Yes,Computer
2364,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,No,Broadband,4,3,No,Private,Rural,Male,Yes,Mobile
2366,Upto HSC,18.0,Yes,No,No,No,Urban,No,Broadband,4,4,Yes,Private,Rural,Male,Yes,Computer
2368,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,2,No,Private,Urban,Female,Yes,Computer
2369,Hons or Grater,24.0,No,Yes,No,No,Urban,No,Mobile Internet,5,2,No,Private,Rural,Male,Yes,Computer
2371,Hons or Grater,23.0,No,No,No,No,Urban,No,Broadband,4,4,Yes,Private,Rural,Female,Yes,Mobile
2372,Upto HSC,19.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,4,3,No,Public,Rural,Male,Yes,Computer
2373,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,No,Private,Urban,Male,Yes,Computer
2374,Hons or Grater,26.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,3,2,Yes,Private,Rural,Male,No,Computer
2376,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,2,No,Public,Rural,Female,No,Computer
2377,Upto HSC,18.0,Yes,No,Yes,No,Urban,No,Mobile Internet,5,3,Yes,Private,Urban,Female,No,Computer
2378,Hons or Grater,24.0,Yes,No,No,No,Urban,No,Mobile Internet,3,3,Yes,Private,Urban,Male,Yes,Mobile
2379,Upto HSC,22.0,Yes,Yes,No,Yes,Rural,Yes,Broadband,6,2,No,Private,Urban,Female,Yes,Computer
2380,Hons or Grater,26.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,5,2,Yes,Public,Urban,Male,Yes,Computer
2381,Upto HSC,22.0,Yes,No,No,No,Urban,No,Broadband,6,3,Yes,Public,Urban,Female,Yes,Computer
2383,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,4,No,Private,Rural,Female,Yes,Mobile
2385,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,No,Broadband,6,4,Yes,Public,Rural,Female,No,Computer
2386,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,No,Private,Urban,Female,No,Mobile
2387,Upto HSC,21.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,2,Yes,Private,Rural,Male,Yes,Computer
