,Level of study?,Age?,Used smartphone/computer/laptop previously before online class?,Result increased after online education  (comparatively)?,Knowledge increased after online education (comparatively)?,Happy with online education?,Education Institute Area?,Have Internet availability?,Broadband / Mobile Internet?,Total hours of study before online education?,Total hours of study after online education?,Class performance increased in online education?,Institute Type,Current location (During Study) ?,Gender,Faced any issue with online class?,Preferred device for an online course
49,Upto HSC,22.0,Yes,No,No,No,Urban,No,Mobile Internet,5,2,No,Public,Rural,Female,No,Mobile
51,Hons or Grater,25.0,No,No,No,Yes,Urban,No,Mobile Internet,6,3,No,Public,Rural,Male,No,Computer
52,Hons or Grater,22.0,Yes,No,Yes,Yes,Rural,No,Mobile Internet,4,3,Yes,Public,Urban,Male,Yes,Computer
53,Hons or Grater,22.0,Yes,No,No,Yes,Urban,No,Mobile Internet,5,2,No,Public,Rural,Male,Yes,Mobile
54,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,3,Yes,Private,Rural,Female,No,Computer
56,Hons or Grater,22.0,Yes,No,Yes,No,Urban,No,Mobile Internet,5,3,Yes,Private,Urban,Female,Yes,Computer
57,Upto HSC,19.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,3,Yes,Private,Urban,Male,Yes,Computer
58,Upto HSC,17.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,4,Yes,Private,Urban,Male,No,Computer
59,Hons or Grater,23.0,Yes,No,No,No,Urban,No,Mobile Internet,4,4,No,Private,Rural,Female,Yes,Computer
60,Hons or Grater,23.0,Yes,Yes,No,No,Rural,Yes,Broadband,6,3,Yes,Private,Urban,Male,No,Mobile
63,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,2,Yes,Private,Urban,Male,Yes,Mobile
71,Hons or Grater,23.0,Yes,No,No,Yes,Urban,No,Mobile Internet,5,4,No,Private,Urban,Female,Yes,Mobile
80,Upto HSC,17.0,No,Yes,Yes,No,Rural,No,Mobile Internet,3,3,No,Public,Rural,Male,Yes,Computer
82,Hons or Grater,26.0,Yes,Yes,No,No,Urban,No,Mobile Internet,3,3,No,Private,Urban,Male,No,Mobile
89,Upto HSC,18.0,No,Yes,No,No,Rural,Yes,Broadband,4,3,Yes,Private,Urban,Male,No,Computer
91,Hons or Grater,26.0,Yes,Yes,Yes,No,Rural,No,Mobile Internet,6,3,No,Private,Rural,Male,Yes,Computer
93,Upto HSC,17.0,Yes,Yes,Yes,No,Rural,No,Mobile Internet,3,3,Yes,Private,Rural,Male,Yes,Computer
94,Upto HSC,22.0,Yes,Yes,No,No,Rural,No,Mobile Internet,5,3,No,Public,Rural,Female,No,Mobile
95,Hons or Grater,21.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,3,No,Public,Rural,Male,Yes,Computer
96,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,5,3,No,Private,Rural,Male,No,Mobile
97,Hons or Grater,24.0,Yes,Yes,Yes,Yes,Urban,No,Mobile Internet,5,3,No,Private,Rural,Female,Yes,Computer
98,Upto HSC,23.0,Yes,Yes,No,Yes,Rural,Yes,Broadband,4,3,No,Private,Urban,Male,No,Computer
99,Hons or Grater,23.0,Yes,Yes,No,No,Urban,No,Broadband,4,3,No,Private,Rural,Male,No,Computer
100,Upto HSC,23.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,3,Yes,Private,Urban,Male,No,Computer
102,Upto HSC,24.0,Yes,Yes,No,No,Rural,Yes,Broadband,3,3,Yes,Private,Rural,Male,Yes,Mobile
103,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,Yes,Private,Urban,Female,Yes,Computer
104,Upto HSC,25.0,No,Yes,No,Yes,Rural,No,Mobile Internet,4,3,No,Public,Rural,Female,Yes,Computer
105,Upto HSC,18.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,2,Yes,Private,Urban,Female,Yes,Mobile
106,Upto HSC,20.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,Yes,Private,Urban,Male,Yes,Computer
107,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,4,Yes,Private,Urban,Female,Yes,Computer
108,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,2,Yes,Private,Urban,Female,Yes,Computer
109,Upto HSC,19.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,2,Yes,Private,Urban,Male,No,Mobile
110,Upto HSC,19.0,No,Yes,Yes,No,Rural,No,Mobile Internet,4,4,No,Public,Rural,Male,Yes,Computer
111,Hons or Grater,22.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,3,3,No,Private,Rural,Male,Yes,Computer
112,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,2,No,Private,Urban,Male,Yes,Computer
113,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,Yes,Public,Urban,Female,No,Computer
114,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,2,Yes,Public,Urban,Male,No,Computer
115,Upto HSC,16.0,No,Yes,Yes,No,Rural,No,Mobile Internet,3,4,No,Public,Rural,Male,Yes,Computer
117,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,3,Yes,Private,Rural,Male,No,Computer
118,Upto HSC,22.0,Yes,Yes,Yes,No,Rural,No,Mobile Internet,4,2,No,Public,Rural,Male,Yes,Computer
119,Upto HSC,22.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,3,2,No,Public,Rural,Female,Yes,Computer
120,Upto HSC,20.0,Yes,Yes,Yes,No,Urban,No,Broadband,5,2,No,Public,Rural,Male,Yes,Computer
121,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,2,Yes,Private,Urban,Male,Yes,Mobile
126,Upto HSC,18.0,Yes,Yes,No,Yes,Rural,Yes,Mobile Internet,5,2,Yes,Private,Rural,Male,No,Computer
127,Hons or Grater,24.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,4,2,Yes,Public,Rural,Male,Yes,Computer
128,Hons or Grater,25.0,No,Yes,No,Yes,Urban,No,Mobile Internet,5,4,No,Public,Rural,Male,No,Computer
129,Hons or Grater,22.0,Yes,Yes,No,No,Rural,No,Mobile Internet,3,4,Yes,Public,Urban,Male,Yes,Mobile
130,Hons or Grater,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,3,No,Public,Rural,Male,Yes,Mobile
131,Hons or Grater,25.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,2,Yes,Public,Urban,Male,Yes,Computer
133,Hons or Grater,21.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,6,3,No,Private,Urban,Male,Yes,Computer
134,Upto HSC,22.0,Yes,Yes,Yes,No,Rural,No,Mobile Internet,3,4,No,Public,Rural,Male,Yes,Mobile
135,Upto HSC,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,4,No,Public,Rural,Female,No,Mobile
136,Hons or Grater,23.0,Yes,Yes,No,No,Rural,Yes,Broadband,3,3,Yes,Private,Rural,Male,Yes,Computer
137,Hons or Grater,24.0,No,Yes,No,No,Urban,Yes,Broadband,4,4,Yes,Private,Rural,Female,Yes,Mobile
138,Upto HSC,20.0,Yes,Yes,No,No,Urban,No,Broadband,6,2,No,Public,Rural,Male,No,Computer
139,Hons or Grater,25.0,No,Yes,No,Yes,Urban,No,Mobile Internet,3,3,No,Public,Rural,Male,No,Computer
140,Upto HSC,19.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,4,2,No,Private,Urban,Male,Yes,Mobile
141,Hons or Grater,25.0,Yes,Yes,No,No,Urban,No,Broadband,5,3,No,Private,Urban,Male,Yes,Computer
142,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,3,Yes,Private,Urban,Male,Yes,Mobile
143,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,3,3,No,Private,Rural,Female,Yes,Mobile
