Level of study?,Age?,Used smartphone/computer/laptop previously before online class?,Result increased after online education  (comparatively)?,Knowledge increased after online education (comparatively)?,Happy with online education?,Education Institute Area?,Have Internet availability?,Broadband / Mobile Internet?,Total hours of study before online education?,Total hours of study after online education?,Class performance increased in online education?,Institute Type,Current location (During Study) ?,Gender,Faced any issue with online class?,Preferred device for an online course
Hons or Grater,23,Yes,Yes,No,No,Urban,No,Broadband,4,3,No,Private,Rural,Male,No,Computer
Upto HSC,23,Yes,Yes,No,No,Urban,No,Mobile Internet,4,3,Yes,Private,Urban,Male,No,Computer
Hons or Grater,24,Yes,Yes,No,Yes,Urban,No,Mobile Internet,5,2,Yes,Public,Rural,Male,,Mobile
Upto HSC,24,Yes,Yes,No,No,Rural,Yes,Broadband,3,3,Yes,Private,Rural,Male,Yes,Mobile
Hons or Grater,23,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,Yes,Private,Urban,Female,Yes,Computer
Upto HSC,25,No,Yes,No,Yes,Rural,No,Mobile Internet,4,3,No,Public,Rural,Female,Yes,Computer
Upto HSC,18,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,2,Yes,Private,Urban,Female,Yes,Mobile
Upto HSC,20,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,Yes,Private,Urban,Male,Yes,Computer
Hons or Grater,23,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,4,Yes,Private,Urban,Female,Yes,Computer
Hons or Grater,23,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,2,Yes,Private,Urban,Female,Yes,Computer
Upto HSC,19,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,2,Yes,Private,Urban,Male,No,Mobile
Upto HSC,19,No,Yes,Yes,No,Rural,No,Mobile Internet,4,4,No,Public,Rural,Male,Yes,Computer
Hons or Grater,22,Yes,Yes,Yes,No,Urban,No,Mobile Internet,3,3,No,Private,Rural,Male,Yes,Computer
Hons or Grater,24,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,2,No,Private,Urban,Male,Yes,Computer
Hons or Grater,24,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,Yes,Public,Urban,Female,No,Computer
