,Level of study?,Age?,Used smartphone/computer/laptop previously before online class?,Result increased after online education  (comparatively)?,Knowledge increased after online education (comparatively)?,Happy with online education?,Education Institute Area?,Have Internet availability?,Broadband / Mobile Internet?,Total hours of study before online education?,Total hours of study after online education?,Class performance increased in online education?,Institute Type,Current location (During Study) ?,Gender,Faced any issue with online class?,Preferred device for an online course
110,1,19.0,0,1,1,0,0,0,1,4,4,0,1,0,1,1,0
111,0,22.0,1,1,1,0,1,0,1,3,3,0,0,0,1,1,0
112,0,24.0,1,1,0,0,1,1,1,4,2,0,0,1,1,1,0
113,0,24.0,1,1,0,0,1,1,0,4,3,1,1,1,0,0,0
114,0,24.0,1,1,0,1,1,1,0,4,2,1,1,1,1,0,0
115,1,16.0,0,1,1,0,0,0,1,3,4,0,1,0,1,1,0
117,0,23.0,1,1,0,0,1,1,1,6,3,1,0,0,1,0,0
118,1,22.0,1,1,1,0,0,0,1,4,2,0,1,0,1,1,0
119,1,22.0,1,1,1,0,1,0,1,3,2,0,1,0,0,1,0
120,1,20.0,1,1,1,0,1,0,0,5,2,0,1,0,1,1,0
121,0,23.0,1,1,0,0,1,1,0,3,2,1,0,1,1,1,1
126,1,18.0,1,1,0,1,0,1,1,5,2,1,0,0,1,0,0
127,0,24.0,1,1,0,0,0,1,1,4,2,1,1,0,1,1,0
128,0,25.0,0,1,0,1,1,0,1,5,4,0,1,0,1,0,0
129,0,22.0,1,1,0,0,0,0,1,3,4,1,1,1,1,1,1
130,0,22.0,1,1,0,0,1,0,1,5,3,0,1,0,1,1,1
131,0,25.0,1,1,0,1,1,1,0,4,2,1,1,1,1,1,0
133,0,21.0,1,1,0,1,1,0,1,6,3,0,0,1,1,1,0
134,1,22.0,1,1,1,0,0,0,1,3,4,0,1,0,1,1,1
135,1,22.0,1,1,0,0,1,0,1,5,4,0,1,0,0,0,1
136,0,23.0,1,1,0,0,0,1,0,3,3,1,0,0,1,1,0
137,0,24.0,0,1,0,0,1,1,0,4,4,1,0,0,0,1,1
138,1,20.0,1,1,0,0,1,0,0,6,2,0,1,0,1,0,0
139,0,25.0,0,1,0,1,1,0,1,3,3,0,1,0,1,0,0
140,1,19.0,1,1,0,0,0,1,1,4,2,0,0,1,1,1,1
141,0,25.0,1,1,0,0,1,0,0,5,3,0,0,1,1,1,0
142,0,26.0,1,1,0,1,1,1,0,4,3,1,0,1,1,1,1
143,0,23.0,1,1,1,0,1,0,1,3,3,0,0,0,0,1,1
144,0,22.0,1,1,0,0,1,0,0,4,3,0,0,1,1,1,0
145,0,24.0,1,1,0,0,1,0,1,5,3,0,0,0,1,1,1
146,0,23.0,1,1,0,0,1,0,1,4,2,0,0,1,0,1,1
147,1,22.0,1,1,0,1,1,1,1,3,3,1,0,1,1,1,1
148,0,26.0,1,1,0,0,1,1,0,4,3,1,0,0,0,0,0
149,1,20.0,1,1,0,0,1,0,0,5,3,0,1,0,1,1,0
150,0,24.0,1,1,0,1,1,1,0,4,2,0,1,0,1,1,0
151,0,26.0,1,1,0,1,1,1,0,3,2,0,0,1,1,0,1
152,0,25.0,1,1,0,0,1,1,1,4,3,0,0,1,0,0,0
153,0,26.0,1,1,0,1,1,1,0,4,3,1,0,1,1,0,0
154,0,24.0,1,1,0,0,1,1,0,6,3,0,0,1,0,1,0
155,1,21.0,1,1,0,0,1,1,0,4,4,1,0,1,0,0,1
156,0,26.0,1,1,0,1,1,1,0,5,4,1,0,1,1,0,0
157,1,21.0,1,1,0,1,1,0,1,3,3,0,0,0,0,0,1
158,0,24.0,1,1,0,0,1,1,1,5,3,1,0,1,1,0,0
159,0,25.0,0,1,1,0,1,0,1,4,4,0,1,0,1,1,1
160,0,26.0,1,1,0,1,1,1,1,3,2,0,0,0,0,1,0
161,0,22.0,1,1,0,0,0,0,1,3,2,1,1,1,1,1,0
162,0,22.0,1,1,0,1,1,0,1,5,2,0,1,0,1,1,0
163,0,26.0,1,1,0,1,1,1,1,3,4,0,0,0,1,0,0
164,1,21.0,1,1,0,1,1,1,0,4,2,1,0,0,0,0,0
165,0,22.0,1,1,0,0,1,0,1,4,3,1,0,1,0,1,0
166,0,25.0,1,1,0,1,1,1,0,3,4,0,0,0,1,1,0
167,0,26.0,1,1,0,0,1,1,1,4,2,0,0,0,1,1,1
168,0,23.0,1,1,0,1,1,0,1,5,4,0,0,0,0,1,0
169,0,24.0,1,1,0,0,1,0,1,5,3,0,0,0,1,1,0
170,0,23.0,1,1,1,1,1,0,1,5,4,0,0,1,0,1,0
171,0,25.0,1,1,0,1,0,0,1,3,3,1,1,0,0,0,0
172,1,21.0,1,1,0,1,1,1,1,4,2,0,0,1,1,0,0
173,0,24.0,1,1,1,0,1,0,1,5,3,1,1,1,1,1,1
174,0,25.0,1,1,0,1,1,1,0,6,3,1,0,1,0,1,0
175,0,24.0,1,1,0,0,0,1,0,4,3,1,1,1,0,1,0
176,0,24.0,1,1,0,0,0,0,1,6,3,1,0,1,0,1,0
177,1,22.0,1,1,0,0,1,1,0,4,2,1,0,1,0,1,1
178,0,21.0,1,1,0,1,1,0,0,5,4,1,0,1,0,0,1
179,1,17.0,0,1,0,1,0,0,1,3,3,0,1,0,1,1,0
181,0,26.0,1,1,0,1,0,0,1,5,2,0,0,0,1,1,1
182,0,22.0,0,1,0,1,0,1,0,4,3,1,1,0,0,1,0
184,0,22.0,1,1,0,1,1,1,1,3,4,1,0,0,1,1,0
185,1,17.0,1,1,1,0,0,0,1,4,2,1,0,0,1,0,0
186,1,22.0,1,1,0,0,0,0,1,3,3,0,1,0,0,1,1
